id,name,description,siteURL,siteLicence,srsName,point.longitude,point.latitude,point.ahd,operatingAuthority,operationAuthorityURL,siteStatus,WMO station number,Baseline Surface Radiation Network station,ex3,ex4,ex5,observedProperty,procedure,observationMethod,dataAvailabilityStatus,samplingRegime,firstObservationDate,finalObservationDate,observedProperty,procedure,observationMethod,dataAvailabilityStatus,samplingRegime,firstObservationDate,finalObservationDate
26021,MOUNT GAMBIER AERO,Site at Mount Gambier Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.026021.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,140.7739,-37.7473,63,Bureau of Meteorology,http://www.bom.gov.au,decommissioned,94821,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,25/08/1993,04/03/2006
31011,CAIRNS AERO,Site at Cairns Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.031011.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,145.7458,-16.8736,2.2,Bureau of Meteorology,http://www.bom.gov.au,decommissioned,94287,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,01/04/1997,18/03/2004
32040,TOWNSVILLE AERO,Site at Townsville Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.032040.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,146.7661,-19.2483,4.3,Bureau of Meteorology,http://www.bom.gov.au,inactive,94294,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,30/09/2012,01/04/2014
36031,LONGREACH AERO,Site at Longreach Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.036031.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,144.2828,-23.4397,192.2,Bureau of Meteorology,http://www.bom.gov.au,decommissioned,94346,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,20/07/2012,01/01/2014
39083,ROCKHAMPTON AERO,Site at Rockhampton Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.039083.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,150.4775,-23.3753,10.4,Bureau of Meteorology,http://www.bom.gov.au,active,94374,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,01/01/1996,
48027,COBAR MO,Site at Cobar Meteorological Office,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.048027.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,145.8294,-31.484,260,Bureau of Meteorology,http://www.bom.gov.au,decommissioned,94711,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,12/05/2012,01/03/2014
72150,WAGGA WAGGA AMO,Site at Wagga Wagga Metorological Office Wagga Wagga Aerodrome,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.072150.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,147.4575,-35.1583,212,Bureau of Meteorology,http://www.bom.gov.au,active,94910,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,18/03/1997,
76031,MILDURA AIRPORT,Site at Mildura Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.076031.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,142.0867,-34.2358,50,Bureau of Meteorology,http://www.bom.gov.au,decommissioned,94693,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,29/04/1996,01/07/2013
86282,MELBOURNE AIRPORT,Site at Melbourne Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.086282.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,144.8321,-37.6655,113.4,Bureau of Meteorology,http://www.bom.gov.au,active,94866,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,12/05/1999,
91148,CAPE GRIM RADIATION,Site at Cape Grim,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.091148.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,144.6892,-40.6817,95,Bureau of Meteorology,http://www.bom.gov.au,active,     ,N,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,01/01/1998,
200284,COCOS ISLAND AIRPORT,Site at Cocos Island Airport,http://www.bom.gov.au/clim_data/cdio/metadata/pdf/siteinfo/IDCJMD0040.200284.SiteInfo.pdf,open-agencySpecific,http://www.opengis.net/def/crs/EPSG/0/4979,96.8344,-12.1892,3,Bureau of Meteorology,http://www.bom.gov.au,active,96996,Y,,,,atmosphere-atmosphericRadiation,http://www.bom.gov.au/climate/data-services/solar/index.shtml,inSituLandBasedPlatforms,available-online,oneMinuteToOneHour,13/09/2004,
